------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                         CPU time        CUDA time            Calls        CPU total       CUDA total
------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
cudnn_batch_norm_backward                    90.493us       1210.125us                1         90.493us       1210.125us
torch::autograd::AccumulateGrad              39.480us         31.938us                1         39.480us         31.938us
torch::autograd::AccumulateGrad              24.443us         31.812us                1         24.443us         31.812us
CudnnConvolutionBackward                   1308.260us       5681.000us                1       1308.260us       5681.000us
cudnn_convolution_backward                 1284.307us       5677.812us                1       1284.307us       5677.812us
torch::autograd::AccumulateGrad              40.630us         10.125us                1         40.630us         10.125us
torch::autograd::AccumulateGrad              25.200us          5.688us                1         25.200us          5.688us
ThresholdBackward1                           67.623us        191.250us                1         67.623us        191.250us
threshold_backward                           49.086us        188.125us                1         49.086us        188.125us
CudnnBatchNormBackward                      143.226us       1233.562us                1        143.226us       1233.562us
contiguous                                    7.100us          1.625us                1          7.100us          1.625us
cudnn_batch_norm_backward                    83.247us       1227.312us                1         83.247us       1227.312us
torch::autograd::AccumulateGrad              37.417us          6.438us                1         37.417us          6.438us
torch::autograd::AccumulateGrad              25.223us          6.000us                1         25.223us          6.000us
CudnnConvolutionBackward                    261.456us       1003.250us                1        261.456us       1003.250us
cudnn_convolution_backward                  224.452us       1000.250us                1        224.452us       1000.250us
torch::autograd::AccumulateGrad              40.963us          6.438us                1         40.963us          6.438us
torch::autograd::AccumulateGrad              24.990us          5.750us                1         24.990us          5.750us
HookFuncBackward                             26.096us          1.562us                1         26.096us          1.562us
torch::autograd::AccumulateGrad              70.786us         15.312us                1         70.786us         15.312us
clone                                        56.727us         12.188us                1         56.727us         12.188us
to                                        13241.284us         93.375us                1      13241.284us         93.375us
empty                                        22.414us          1.625us                1         22.414us          1.625us
is_floating_point                             5.925us          5.312us                1          5.925us          5.312us
HookFunc                                     85.817us         85.562us                1         85.817us         85.562us
view_as                                      40.066us         39.562us                1         40.066us         39.562us
view                                         27.668us         26.938us                1         27.668us         26.938us
conv2d                                      264.009us        665.188us                1        264.009us        665.188us
convolution                                 251.779us        657.000us                1        251.779us        657.000us
_convolution                                240.620us        649.062us                1        240.620us        649.062us
contiguous                                    6.274us          6.625us                1          6.274us          6.625us
empty                                        10.982us         11.125us                1         10.982us         11.125us
cudnn_convolution                           186.090us        603.500us                1        186.090us        603.500us
add_                                         56.271us          8.250us                1         56.271us          8.250us
batch_norm                                  185.302us       1576.000us                1        185.302us       1576.000us
_batch_norm_impl_index                      170.786us       1572.812us                1        170.786us       1572.812us
contiguous                                    6.503us          1.625us                1          6.503us          1.625us
contiguous                                    5.123us          1.625us                1          5.123us          1.625us
contiguous                                    4.611us          1.562us                1          4.611us          1.562us
contiguous                                    4.508us          1.500us                1          4.508us          1.500us
contiguous                                    4.452us          1.500us                1          4.452us          1.500us
cudnn_batch_norm                            103.848us       1553.375us                1        103.848us       1553.375us
threshold_                                   55.797us        142.500us                1         55.797us        142.500us
conv2d                                      220.097us       3138.250us                1        220.097us       3138.250us
convolution                                 207.931us       3135.188us                1        207.931us       3135.188us
_convolution                                197.285us       3132.000us                1        197.285us       3132.000us
contiguous                                    5.437us          1.562us                1          5.437us          1.562us
empty                                        10.937us          1.562us                1         10.937us          1.562us
cudnn_convolution                           147.331us       3122.188us                1        147.331us       3122.188us
add_                                         49.477us          8.312us                1         49.477us          8.312us
batch_norm                                  176.381us       1547.062us                1        176.381us       1547.062us
_batch_norm_impl_index                      162.222us       1543.938us                1        162.222us       1543.938us
contiguous                                    6.680us          1.750us                1          6.680us          1.750us
contiguous                                    5.022us          1.562us                1          5.022us          1.562us
contiguous                                    4.388us          1.562us                1          4.388us          1.562us
contiguous                                    4.392us          1.562us                1          4.392us          1.562us
contiguous                                    4.437us          1.562us                1          4.437us          1.562us
cudnn_batch_norm                             97.322us       1524.625us                1         97.322us       1524.625us
threshold_                                   51.091us        142.938us                1         51.091us        142.938us
max_pool2d_with_indices                      60.642us        173.125us                1         60.642us        173.125us
conv2d                                      222.019us       1309.188us                1        222.019us       1309.188us
convolution                                 209.977us       1305.625us                1        209.977us       1305.625us
_convolution                                198.987us       1301.938us                1        198.987us       1301.938us
contiguous                                    6.409us          1.562us                1          6.409us          1.562us
empty                                        10.249us          1.500us                1         10.249us          1.500us
cudnn_convolution                           149.836us       1292.500us                1        149.836us       1292.500us
add_                                         64.271us          8.188us                1         64.271us          8.188us
batch_norm                                  180.965us        631.438us                1        180.965us        631.438us
_batch_norm_impl_index                      167.279us        628.125us                1        167.279us        628.125us
contiguous                                    6.365us          1.625us                1          6.365us          1.625us
contiguous                                    4.817us          1.562us                1          4.817us          1.562us
contiguous                                    5.194us          1.562us                1          5.194us          1.562us
contiguous                                    4.714us          1.562us                1          4.714us          1.562us
contiguous                                    4.443us          2.000us                1          4.443us          2.000us
cudnn_batch_norm                             99.405us        607.562us                1         99.405us        607.562us
threshold_                                   51.069us         74.812us                1         51.069us         74.812us
conv2d                                      246.761us       2512.438us                1        246.761us       2512.438us
convolution                                 234.533us       2509.250us                1        234.533us       2509.250us
_convolution                                223.948us       2506.062us                1        223.948us       2506.062us
contiguous                                    5.501us          1.625us                1          5.501us          1.625us
empty                                        10.702us          1.625us                1         10.702us          1.625us
cudnn_convolution                           174.816us       2496.625us                1        174.816us       2496.625us
add_                                         48.929us          8.188us                1         48.929us          8.188us
batch_norm                                  177.196us        625.500us                1        177.196us        625.500us
_batch_norm_impl_index                      163.234us        622.312us                1        163.234us        622.312us
contiguous                                    5.717us          1.562us                1          5.717us          1.562us
contiguous                                    4.708us          1.562us                1          4.708us          1.562us
contiguous                                    4.500us          1.562us                1          4.500us          1.562us
contiguous                                    4.897us          1.562us                1          4.897us          1.562us
contiguous                                    4.575us          1.562us                1          4.575us          1.562us
cudnn_batch_norm                             96.834us        602.750us                1         96.834us        602.750us
threshold_                                   51.289us         74.438us                1         51.289us         74.438us
max_pool2d_with_indices                      57.628us         91.375us                1         57.628us         91.375us
to                                        10045.669us        572.375us                1      10045.669us        572.375us
empty                                        16.883us          1.562us                1         16.883us          1.562us
to                                          568.894us        563.250us                1        568.894us        563.250us
empty                                        20.787us         20.375us                1         20.787us         20.375us
torch::autograd::GraphRoot                   12.973us          6.250us                1         12.973us          6.250us
MaxPool2DWithIndicesBackward                126.053us        257.562us                1        126.053us        257.562us
max_pool2d_with_indices_backward             84.109us        233.562us                1         84.109us        233.562us
ThresholdBackward1                           86.360us        101.438us                1         86.360us        101.438us
threshold_backward                           65.656us         98.250us                1         65.656us         98.250us
CudnnBatchNormBackward                      167.319us        497.562us                1        167.319us        497.562us
contiguous                                    7.790us          1.625us                1          7.790us          1.625us
cudnn_batch_norm_backward                   107.256us        491.188us                1        107.256us        491.188us
torch::autograd::AccumulateGrad              45.817us         31.125us                1         45.817us         31.125us
torch::autograd::AccumulateGrad              27.207us         30.875us                1         27.207us         30.875us
CudnnConvolutionBackward                    631.870us       3986.812us                1        631.870us       3986.812us
cudnn_convolution_backward                  606.074us       3983.625us                1        606.074us       3983.625us
torch::autograd::AccumulateGrad              43.497us         35.375us                1         43.497us         35.375us
torch::autograd::AccumulateGrad              26.627us         34.812us                1         26.627us         34.812us
ThresholdBackward1                           69.327us        104.938us                1         69.327us        104.938us
threshold_backward                           50.270us        101.812us                1         50.270us        101.812us
CudnnBatchNormBackward                      166.735us        513.312us                1        166.735us        513.312us
contiguous                                    7.447us          1.562us                1          7.447us          1.562us
cudnn_batch_norm_backward                    90.989us        506.938us                1         90.989us        506.938us
torch::autograd::AccumulateGrad              36.989us         34.688us                1         36.989us         34.688us
torch::autograd::AccumulateGrad              24.586us         34.812us                1         24.586us         34.812us
CudnnConvolutionBackward                    590.907us       2656.125us                1        590.907us       2656.125us
cudnn_convolution_backward                  566.494us       2653.062us                1        566.494us       2653.062us
torch::autograd::AccumulateGrad              42.430us         32.938us                1         42.430us         32.938us
torch::autograd::AccumulateGrad              25.766us         32.875us                1         25.766us         32.875us
MaxPool2DWithIndicesBackward                 67.720us        364.500us                1         67.720us        364.500us
max_pool2d_with_indices_backward             45.646us        361.375us                1         45.646us        361.375us
ThresholdBackward1                           65.633us        217.375us                1         65.633us        217.375us
threshold_backward                           49.447us        214.375us                1         49.447us        214.375us
CudnnBatchNormBackward                      142.310us       1231.375us                1        142.310us       1231.375us
contiguous                                    6.920us          1.562us                1          6.920us          1.562us
cudnn_batch_norm_backward                    89.506us       1225.062us                1         89.506us       1225.062us
torch::autograd::AccumulateGrad              36.850us         32.125us                1         36.850us         32.125us
torch::autograd::AccumulateGrad              24.853us         32.000us                1         24.853us         32.000us
